user_id,email,first_name,last_name,phone,city,state,pincode,segment,created_at
e68d7283-fa2d-4b3c-ac68-3e6c15d9cb4e,nitin.kumar8403@yahoo.com,Nitin,Kumar,+915758228964,Lucknow,Uttar Pradesh,226001,mid-range,2023-12-18 20:09:17.139050
35fca386-b238-4c4f-9fc7-e2936463c85e,vikram.verma1981@gmail.com,Vikram,Verma,+916484164164,Chandigarh,Punjab,160001,budget,2023-10-12 04:17:17.139175
0d5a38e2-8cc4-45b2-a0ff-d92f9dd4f11c,ritika.patel2880@gmail.com,Ritika,Patel,+912109469244,Jaipur,Rajasthan,302001,mid-range,2024-01-14 18:52:17.139210
b4044590-7984-4635-b203-e299b3a5dca1,tushar.reddy5494@gmail.com,Tushar,Reddy,+910356583702,Surat,Gujarat,395001,mid-range,2024-03-04 23:17:17.139233
671e2fbb-89b9-4660-86de-6e48e25bfa68,sanjay.iyer2807@yahoo.com,Sanjay,Iyer,+919426149785,Jaipur,Rajasthan,302001,budget,2026-06-09 07:49:17.139255
2ff76542-307c-4210-90a7-3145d7ef0d98,mohit.nair7054@yahoo.com,Mohit,Nair,+914407276587,Bangalore,Karnataka,560001,premium,2023-12-19 01:12:17.139275
b8ffc933-91eb-42ca-89ed-e275ab1c0b15,ishita.iyer4929@yahoo.com,Ishita,Iyer,+912333966577,Nagpur,Maharashtra,440001,premium,2026-05-23 01:21:17.139296
e7f27f16-5ce2-46df-b20a-9ce1b0920205,seema.krishnan9985@gmail.com,Seema,Krishnan,+917377492014,Jaipur,Rajasthan,302001,premium,2025-08-24 10:55:17.139316
b4602400-2133-4c3f-bcc1-5633c379e5e8,shreya.agarwal1064@gmail.com,Shreya,Agarwal,+917343920742,Bhopal,Madhya Pradesh,462001,mid-range,2023-12-04 13:52:17.139335
04f8bf13-e007-430d-bc8f-db7d5f3c861e,mansi.nair3050@yahoo.com,Mansi,Nair,+916135593064,Nagpur,Maharashtra,440001,mid-range,2024-11-12 16:57:17.139354
80c41529-cc6c-4e02-8611-611ee523596b,sanjay.patel6396@yahoo.com,Sanjay,Patel,+918396965681,Thane,Maharashtra,400601,mid-range,2025-04-29 03:32:17.139374
3fc9d264-5dac-43e8-8f35-6f993bedca17,nitin.reddy390@gmail.com,Nitin,Reddy,+916424231990,Bangalore,Karnataka,560001,budget,2026-01-01 23:11:17.139393
751eefe7-a0b1-4075-a418-c090d1e2ba1f,vikram.sharma304@gmail.com,Vikram,Sharma,+918794508864,Kanpur,Uttar Pradesh,208001,premium,2025-06-13 03:33:17.139411
36a840f6-cbfc-4ffd-bdd7-966ee78066c3,vijay.verma7328@yahoo.com,Vijay,Verma,+918819618611,Bhopal,Madhya Pradesh,462001,mid-range,2026-06-04 20:09:17.139430
